merge_key,name,times_scores_citations,the_score,qs_score,teaching,subjects_offered,nid,aliases,international_students,disabled,city,year,unaccredited,size,students_to_staff_ratio,research_quality,female_to_male_ratio,country,international_outlook,research_environment,industry_impact,region,closed,acronym,student_population,type,research_output,overall_score
kazakhnationalpedagogicaluniversityabai,,,,,,"Economics & Econometrics,Biological Sciences,Psychology,Art, Performing Arts & Design,Education,Physics & Astronomy,Geography,Computer Science,Law,Geology, Environmental, Earth & Marine Sciences,Languages, Literature & Linguistics,Chemistry,Accounting & Finance,Sociology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Business & Management,Mathematics & Statistics",589133.0,Kazakh National Pedagogical University Abai,,False,,,False,,,,,,,,,,False,,,,,
kazakhnationalwomen’steachertraininguniversity,,,,,,"History, Philosophy & Theology,Mathematics & Statistics,Psychology,Languages, Literature & Linguistics,Biological Sciences,Geography,Education,Politics & International Studies (incl Development Studies),Computer Science,Art, Performing Arts & Design,Sociology,Sport Science,Physics & Astronomy,Chemistry",672279.0,Kazakh National Women’s Teacher Training University,,False,,,False,,,,,,,,,,False,,,,,
kazakhstanmedicaluniversityksph,,,,,,"Medicine & Dentistry,Other Health,Business & Management",725722.0,Kazakhstan Medical University KSPH,,False,,,False,,,,,,,,,,False,,,,,
kazannationalresearchtechnicaluniversity,,24.9,,,,"Computer Science,General Engineering,Physics & Astronomy,Sociology,Mechanical & Aerospace Engineering,Electrical & Electronic Engineering,Business & Management",624081.0,Kazan National Research Technical University,,True,,,False,,,,,,,,,,False,,,,,
kazannationalresearchtechnologicaluniversity,Kazan National Research Technological University,12.4,16.799,,22.0,"General Engineering,Chemical Engineering,Business & Management",587760.0,Kazan National Research Technological University,16%,True,Kazan,2026.0,False,L,12.3,10.2,39 : 61,Russian Federation,34.8,9.9,44.2,Europe,False,,"13,472",Public,High,
kazanstatemedicaluniversity,Kazan State Medical University,7.3,22.3365,,39.5,"Medicine & Dentistry,Other Health",624084.0,Kazan State Medical University,36%,True,,2026.0,False,,12.2,10.1,54 : 46,Russian Federation,45.0,11.9,20.7,,False,,"5,835",,,
kazanstatepowerengineeringuniversity,Kazan State Power Engineering University,,14.212,,13.1,"Business & Management,Electrical & Electronic Engineering,Education,Biological Sciences,General Engineering,Communication & Media Studies,Computer Science,Physics & Astronomy",703933.0,Kazan State Power Engineering University,6%,True,,2026.0,False,,25.4,15.3,32 : 68,Russian Federation,25.7,9.8,24.7,,False,,"9,741",,,
keeleuniversity,Keele University,73.3,44.861,,23.5,"Geography,Accounting & Finance,Chemistry,Medicine & Dentistry,Education,Physics & Astronomy,Languages, Literature & Linguistics,Economics & Econometrics,Biological Sciences,Law,Sociology,Veterinary Science,Business & Management,Art, Performing Arts & Design,Sport Science,Mathematics & Statistics,History, Philosophy & Theology,Psychology,Geology, Environmental, Earth & Marine Sciences,General Engineering,Politics & International Studies (incl Development Studies),Computer Science,Communication & Media Studies,Other Health",784.0,Keele University,20%,False,Keele,2026.0,False,M,15.4,75.5,62 : 38,United Kingdom,82.3,22.6,63.8,Europe,False,,"10,370",Public,Very High,
keisenuniversity,,,,,,"Politics & International Studies (incl Development Studies),Languages, Literature & Linguistics,Art, Performing Arts & Design,History, Philosophy & Theology,Education,Psychology",587622.0,Keisen University,,False,,,False,,,,,,,,,,False,,,,,
kemerovostateuniversity,Kemerovo State University,8.6,13.3555,,15.5,"Electrical & Electronic Engineering,Economics & Econometrics,Medicine & Dentistry,Accounting & Finance,General Engineering,Law,Geology, Environmental, Earth & Marine Sciences,Communication & Media Studies,Physics & Astronomy,Chemistry,Sport Science,Languages, Literature & Linguistics,Architecture,Veterinary Science,Computer Science,Other Health,Education,Chemical Engineering,Psychology,Politics & International Studies (incl Development Studies),Agriculture & Forestry,Business & Management,Geography,Biological Sciences,History, Philosophy & Theology,Sociology,Mathematics & Statistics,Archaeology",621444.0,Kemerovo State University,7%,True,,2026.0,False,,23.1,9.9,61 : 39,Russian Federation,24.6,11.2,18.0,,False,,"15,000",,,
kentstateuniversity,,,,,,,,,,,Kent,,,L,,,,,,,,North America,,,,Public,Very High,
kenyattauniversity,Kenyatta University,,21.9085,,14.3,,,,5%,,,2026.0,,,27.6,34.2,58 : 42,Kenya,54.6,9.1,17.4,,,,"55,018",,,
kermanshahuniversityofmedicalsciences,Kermanshah University of Medical Sciences,,50.20599999999999,,48.8,,,,24%,,,2026.0,,,7.0,73.1,50 : 50,Iran,63.8,23.5,57.0,,,,"7,118",,,
