Unnamed: 0,latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
873,68134.0,57903.0,57903.0,600.0,580.0,680.0,760.0,1326.0,21.0,32.0,28.0,Knox College,Predominantly bachelor's-degree,Bachelor's
875,12694.0,4788.0,14400.0,,,,,,,,,College of Lake County,Predominantly certificate-degree,Associate's
876,70655.0,56402.0,56402.0,600.0,590.0,713.0,680.0,1343.0,28.0,32.0,29.0,Lake Forest College,Predominantly bachelor's-degree,Graduate
878,10276.0,4415.0,14301.0,,,,,,,,,Lake Land College,Predominantly certificate-degree,Associate's
880,9592.0,4340.0,7840.0,,,,,,,,,Lewis and Clark Community College,Predominantly certificate-degree,Associate's
881,47313.0,39200.0,39200.0,490.0,470.0,600.0,610.0,1096.0,20.0,27.0,23.0,Lewis University,Predominantly bachelor's-degree,Graduate
882,12379.0,3744.0,10464.0,,,,,,,,,Lincoln Land Community College,Predominantly certificate-degree,Associate's
884,67408.0,53710.0,53710.0,600.0,570.0,690.0,670.0,1297.0,27.0,32.0,30.0,Loyola University Chicago,Predominantly bachelor's-degree,Graduate
888,25660.0,12700.0,12700.0,,,,,,,,,Generations College,Predominantly associate's-degree,Associate's
890,12345.0,4162.0,14399.0,,,,,,,,,McHenry County College,Predominantly certificate-degree,Associate's
891,48845.0,34740.0,34740.0,,,,,,,,,McKendree University,Predominantly bachelor's-degree,Graduate
893,46874.0,18008.0,18008.0,,,,,,,,,Methodist College,Predominantly bachelor's-degree,Graduate
894,57475.0,26892.0,26892.0,440.0,420.0,570.0,560.0,1034.0,18.0,25.0,23.0,Millikin University,Predominantly bachelor's-degree,Graduate
895,57157.0,44922.0,44922.0,500.0,500.0,620.0,590.0,1128.0,20.0,27.0,26.0,Monmouth College,Predominantly bachelor's-degree,Bachelor's
896,34327.0,15786.0,15786.0,,,,,,,,,Moody Bible Institute,Predominantly bachelor's-degree,Graduate
897,13971.0,3822.0,9846.0,,,,,,,,,Moraine Valley Community College,Predominantly certificate-degree,Associate's
898,30436.0,20355.0,20355.0,,,,,,,,,Morrison Institute of Technology,Predominantly associate's-degree,Associate's
899,12801.0,5502.0,12414.0,,,,,,,,,Morton College,Predominantly associate's-degree,Associate's
900,24154.0,12705.0,12705.0,,,,,,,,,National Louis University,Predominantly bachelor's-degree,Graduate
903,57219.0,45726.0,45726.0,530.0,525.0,650.0,660.0,1213.0,24.0,29.0,25.0,North Central College,Predominantly bachelor's-degree,Graduate
904,44172.0,36710.0,36710.0,,,,,,,,23.0,North Park University,Predominantly bachelor's-degree,Graduate
906,28851.0,13248.0,13248.0,,,,,,,,,Northern Illinois University,Predominantly bachelor's-degree,Graduate
907,91250.0,68322.0,68322.0,740.0,770.0,770.0,800.0,1533.0,33.0,35.0,35.0,Northwestern University,Predominantly bachelor's-degree,Graduate
908,26960.0,12383.0,22726.0,,,,,,,,,Northeastern Illinois University,Predominantly bachelor's-degree,Graduate
909,11431.0,3985.0,12462.0,,,,,,,,,Oakton College,Predominantly certificate-degree,Associate's
