latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.city,school.state,school.region_id,school.degrees_awarded.predominant,school.degrees_awarded.highest
15362.0,3648.0,4728.0,,,,,1020.0,17.0,22.0,,University of Arkansas Community College-Morrilton,Morrilton,AR,Southeast,Certificate,Associate
28136.0,13014.0,13014.0,,,,,,,,,Philander Smith University,Little Rock,AR,Southeast,Bachelor,Graduate
11567.0,3380.0,4550.0,,,,,,,,,Phillips Community College of the University of Arkansas,Helena,AR,Southeast,Certificate,Associate
22405.0,5200.0,8650.0,,,,,,,,,Southeast Arkansas College,Pine Bluff,AR,Southeast,Certificate,Associate
20811.0,6300.0,9450.0,,,,,,,,,University of Arkansas-Pulaski Technical College,North Little Rock,AR,Southeast,Certificate,Associate
16307.0,3880.0,5560.0,,,,,,,,,University of Arkansas Hope-Texarkana,Hope,AR,Southeast,Certificate,Associate
13096.0,3696.0,4272.0,,,,,,,,,University of Arkansas Community College Rich Mountain,Mena,AR,Southeast,Certificate,Associate
21735.0,6246.0,6246.0,,,,,,,,,Shorter College,N Little Rock,AR,Southeast,Associate,Associate
33597.0,21070.0,21070.0,,,,,980.0,16.0,21.0,22.0,Williams Baptist University,Walnut Ridge,AR,Southeast,Bachelor,Graduate
12932.0,3324.0,5532.0,,,,,,,,,South Arkansas College,El Dorado,AR,Southeast,Certificate,Associate
24951.0,9960.0,15690.0,450.0,425.0,565.0,540.0,1047.0,17.0,24.0,22.0,Southern Arkansas University Main Campus,Magnolia,AR,Southeast,Bachelor,Graduate
17294.0,5040.0,6480.0,,,,,,,,,Southern Arkansas University Tech,Camden,AR,Southeast,Certificate,Associate
19048.0,7334.0,12182.0,,,,,1050.0,18.0,23.0,,University of Arkansas-Fort Smith,Fort Smith,AR,Southeast,Associate,Graduate
48036.0,30736.0,30736.0,,,,,,,,,Academy of Art University,San Francisco,CA,Northwest,Bachelor,Graduate
18185.0,1258.0,9898.0,,,,,,,,,College of Alameda,Alameda,CA,Northwest,Associate,Associate
13214.0,1156.0,9892.0,,,,,,,,,Allan Hancock College,Santa Maria,CA,Northwest,Certificate,Associate
16384.0,1288.0,12616.0,,,,,,,,,American River College,Sacramento,CA,Northwest,Associate,Associate
12931.0,1124.0,9548.0,,,,,,,,,Antelope Valley Community College District,Lancaster,CA,Northwest,Associate,Bachelor
75649.0,54170.0,54170.0,,,,,,,,,Art Center College of Design,Pasadena,CA,Northwest,Bachelor,Graduate
56313.0,44458.0,44458.0,515.0,468.0,615.0,623.0,1195.0,25.0,30.0,22.0,Azusa Pacific University,Azusa,CA,Northwest,Bachelor,Graduate
22018.0,1430.0,11300.0,,,,,,,,,Bakersfield College,Bakersfield,CA,Northwest,Associate,Bachelor
22193.0,1104.0,9744.0,,,,,,,,,Barstow Community College,Barstow,CA,Northwest,Certificate,Associate
13575.0,7220.0,7220.0,,,,,,,,,Bethesda University,Anaheim,CA,Northwest,Bachelor,Graduate
62757.0,48984.0,48984.0,600.0,560.0,700.0,670.0,1261.0,24.0,29.0,26.0,Biola University,La Mirada,CA,Northwest,Bachelor,Graduate
26732.0,12219.0,12219.0,,,,,,,,,Bryan University,Tempe,AZ,Southwest,Certificate,Graduate
15509.0,1356.0,9276.0,,,,,,,,,Butte College,Oroville,CA,Northwest,Associate,Associate
24966.0,1270.0,9862.0,,,,,,,,,Cabrillo College,Aptos,CA,Northwest,Associate,Associate
54038.0,41228.0,41228.0,,,,,,,,,California Baptist University,Riverside,CA,Northwest,Bachelor,Graduate
79776.0,60226.0,60226.0,,,,,,,,,California College of the Arts,San Francisco,CA,Northwest,Bachelor,Graduate
86886.0,65898.0,65898.0,,,,,,,,,California Institute of Technology,Pasadena,CA,Northwest,Bachelor,Graduate
68426.0,52560.0,52560.0,590.0,560.0,670.0,660.0,1266.0,24.0,31.0,26.0,California Lutheran University,Thousand Oaks,CA,Northwest,Bachelor,Graduate
32265.0,13596.0,34665.0,,,,,,,,,California Polytechnic State University-San Luis Obispo,San Luis Obispo,CA,Northwest,Bachelor,Graduate
19522.0,8090.0,20690.0,,,,,,,,,California State University-Bakersfield,Bakersfield,CA,Northwest,Bachelor,Graduate
19739.0,8246.0,20846.0,,,,,,,,,California State University-Stanislaus,Turlock,CA,Northwest,Bachelor,Graduate
17427.0,8093.0,20693.0,,,,,,,,,California State University-San Bernardino,San Bernardino,CA,Northwest,Bachelor,Graduate
23955.0,7780.0,20380.0,,,,,,,,,California State Polytechnic University-Pomona,Pomona,CA,Northwest,Bachelor,Graduate
26283.0,8472.0,21072.0,,,,,,,,,California State University-Chico,Chico,CA,Northwest,Bachelor,Graduate
23191.0,7449.0,20049.0,,,,,,,,,California State University-Dominguez Hills,Carson,CA,Northwest,Bachelor,Graduate
20095.0,7350.0,19950.0,,,,,,,,,California State University-Fresno,Fresno,CA,Northwest,Bachelor,Graduate
18269.0,7470.0,20070.0,,,,,,,,,California State University-Fullerton,Fullerton,CA,Northwest,Bachelor,Graduate
22850.0,7583.0,20183.0,,,,,,,,,California State University-East Bay,Hayward,CA,Northwest,Bachelor,Graduate
22679.0,7350.0,19950.0,,,,,,,,,California State University-Long Beach,Long Beach,CA,Northwest,Bachelor,Graduate
18403.0,7160.0,19760.0,,,,,,,,,California State University-Los Angeles,Los Angeles,CA,Northwest,Bachelor,Graduate
20485.0,7458.0,20058.0,,,,,,,,,California State University-Northridge,Northridge,CA,Northwest,Bachelor,Graduate
22945.0,8018.0,20618.0,,,,,,,,,California State University-Sacramento,Sacramento,CA,Northwest,Bachelor,Graduate
45619.0,16347.0,50547.0,,,,,,,,,University of California-Berkeley,Berkeley,CA,Northwest,Bachelor,Graduate
41238.0,16774.0,50974.0,,,,,,,,,University of California-Davis,Davis,CA,Northwest,Bachelor,Graduate
