latest.cost.attendance.academic_year,latest.cost.tuition.in_state,latest.cost.tuition.out_of_state,latest.admissions.sat_scores.25th_percentile.critical_reading,latest.admissions.sat_scores.25th_percentile.math,latest.admissions.sat_scores.75th_percentile.critical_reading,latest.admissions.sat_scores.75th_percentile.math,latest.admissions.sat_scores.average.overall,latest.admissions.act_scores.25th_percentile.cumulative,latest.admissions.act_scores.75th_percentile.cumulative,latest.admissions.act_scores.midpoint.cumulative,school.name,school.degrees_awarded.predominant,school.degrees_awarded.highest
62757.0,48984.0,48984.0,600.0,560.0,700.0,670.0,1261.0,24.0,29.0,26.0,Biola University,Bachelor,Graduate
26732.0,12219.0,12219.0,,,,,,,,,Bryan University,Certificate,Graduate
15509.0,1356.0,9276.0,,,,,,,,,Butte College,Certificate,Associate
24966.0,1270.0,9862.0,,,,,,,,,Cabrillo College,Associate,Associate
54038.0,41228.0,41228.0,,,,,,,,,California Baptist University,Bachelor,Graduate
79776.0,60226.0,60226.0,,,,,,,,,California College of the Arts,Bachelor,Graduate
86886.0,65898.0,65898.0,,,,,,,,,California Institute of Technology,Bachelor,Graduate
68426.0,52560.0,52560.0,590.0,560.0,670.0,660.0,1266.0,24.0,31.0,26.0,California Lutheran University,Bachelor,Graduate
32265.0,13596.0,34665.0,,,,,,,,,California Polytechnic State University-San Luis Obispo,Bachelor,Graduate
19522.0,8090.0,20690.0,,,,,,,,,California State University-Bakersfield,Bachelor,Graduate
19739.0,8246.0,20846.0,,,,,,,,,California State University-Stanislaus,Bachelor,Graduate
17427.0,8093.0,20693.0,,,,,,,,,California State University-San Bernardino,Bachelor,Graduate
23955.0,7780.0,20380.0,,,,,,,,,California State Polytechnic University-Pomona,Bachelor,Graduate
26283.0,8472.0,21072.0,,,,,,,,,California State University-Chico,Bachelor,Graduate
23191.0,7449.0,20049.0,,,,,,,,,California State University-Dominguez Hills,Bachelor,Graduate
20095.0,7350.0,19950.0,,,,,,,,,California State University-Fresno,Bachelor,Graduate
18269.0,7470.0,20070.0,,,,,,,,,California State University-Fullerton,Bachelor,Graduate
22850.0,7583.0,20183.0,,,,,,,,,California State University-East Bay,Bachelor,Graduate
22679.0,7350.0,19950.0,,,,,,,,,California State University-Long Beach,Bachelor,Graduate
18403.0,7160.0,19760.0,,,,,,,,,California State University-Los Angeles,Bachelor,Graduate
20485.0,7458.0,20058.0,,,,,,,,,California State University-Northridge,Bachelor,Graduate
22945.0,8018.0,20618.0,,,,,,,,,California State University-Sacramento,Bachelor,Graduate
45619.0,16347.0,50547.0,,,,,,,,,University of California-Berkeley,Bachelor,Graduate
41238.0,16774.0,50974.0,,,,,,,,,University of California-Davis,Bachelor,Graduate
38632.0,15722.0,49922.0,,,,,,,,,University of California-Irvine,Bachelor,Graduate
38614.0,15203.0,49403.0,,,,,,,,,University of California-Los Angeles,Bachelor,Graduate
38942.0,15606.0,49806.0,,,,,,,,,University of California-Riverside,Bachelor,Graduate
38701.0,16758.0,50958.0,,,,,,,,,University of California-San Diego,Bachelor,Graduate
41573.0,16414.0,50614.0,,,,,,,,,University of California-Santa Barbara,Bachelor,Graduate
41179.0,16005.0,50205.0,,,,,,,,,University of California-Santa Cruz,Bachelor,Graduate
77560.0,58996.0,58996.0,,,,,,,,,California Institute of the Arts,Bachelor,Graduate
29853.0,9944.0,22544.0,,,,,,,,,California State University Maritime Academy,Bachelor,Graduate
9087.0,1332.0,11384.0,,,,,,,,,Canada College,Associate,Associate
11360.0,1166.0,10958.0,,,,,,,,,College of the Canyons,Associate,Associate
10236.0,1364.0,12004.0,,,,,,,,,Cerritos College,Certificate,Associate
25300.0,1384.0,11254.0,,,,,,,,,Cerro Coso Community College,Associate,Associate
17456.0,1150.0,8686.0,,,,,,,,,Chabot College,Associate,Associate
14451.0,1184.0,11120.0,,,,,,,,,Chaffey College,Associate,Associate
83146.0,64984.0,64984.0,630.0,630.0,720.0,720.0,1357.0,28.0,31.0,29.0,Chapman University,Bachelor,Graduate
39834.0,23000.0,23000.0,,,,,,,,,Charles R Drew University of Medicine and Science,Bachelor,Graduate
58682.0,43480.0,43480.0,,,,,,,,25.0,Concordia University-Irvine,Bachelor,Graduate
31745.0,28012.0,28012.0,,,,,,,,,San Diego Christian College,Bachelor,Graduate
13699.0,1204.0,10636.0,,,,,,,,,Citrus College,Certificate,Associate
16870.0,1696.0,14656.0,,,,,,,,,City College of San Francisco,Certificate,Associate
